Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,social_support,cpi_score
France,6.489,1.293,0.0,0.908,0.52,0.098,0.176,0.0,Europe,2018,1.466,72
Mexico,6.488,1.038,0.0,0.761,0.479,0.069,0.095,0.0,North-America,2018,1.252,28
Chile,6.476,1.131,0.0,0.808,0.431,0.197,0.061,0.0,South-America,2018,1.331,67
Panama,6.43,1.112,0.0,0.759,0.597,0.125,0.063,0.0,South-America,2018,1.438,37
Brazil,6.419,0.986,0.0,0.675,0.493,0.11,0.088,0.0,South-America,2018,1.474,35
Argentina,6.388,1.073,0.0,0.744,0.57,0.062,0.054,0.0,South-America,2018,1.468,40
Guatemala,6.382,0.781,0.0,0.608,0.604,0.179,0.071,0.0,South-America,2018,1.268,27
Uruguay,6.379,1.093,0.0,0.771,0.625,0.13,0.155,0.0,South-America,2018,1.459,70
Saudi Arabia,6.371,1.379,0.0,0.633,0.509,0.098,0.127,0.0,Asia,2018,1.331,49
Singapore,6.343,1.529,0.0,1.008,0.631,0.261,0.457,0.0,Asia,2018,1.451,85
Malaysia,6.322,1.161,0.0,0.669,0.356,0.311,0.059,0.0,Asia,2018,1.258,47
Spain,6.31,1.251,0.0,0.965,0.449,0.142,0.074,0.0,Europe,2018,1.538,58
Colombia,6.26,0.96,0.0,0.635,0.531,0.099,0.039,0.0,South-America,2018,1.439,36
Slovakia,6.173,1.21,0.0,0.776,0.354,0.118,0.014,0.0,Europe,2018,1.537,50
El Salvador,6.167,0.806,0.0,0.639,0.461,0.065,0.082,0.0,South-America,2018,1.231,35
Nicaragua,6.141,0.668,0.0,0.7,0.527,0.208,0.128,0.0,South-America,2018,1.319,25
Poland,6.123,1.176,0.0,0.781,0.546,0.108,0.064,0.0,Europe,2018,1.448,60
Bahrain,6.105,1.338,0.0,0.698,0.594,0.243,0.123,0.0,Asia,2018,1.366,36
Uzbekistan,6.096,0.719,0.0,0.605,0.724,0.328,0.259,0.0,Asia,2018,1.584,23
Kuwait,6.083,1.474,0.0,0.675,0.554,0.167,0.106,0.0,Asia,2018,1.301,41
Thailand,6.072,1.016,0.0,0.707,0.637,0.364,0.029,0.0,Asia,2018,1.417,36
Italy,6.0,1.264,0.0,0.946,0.281,0.137,0.028,0.0,Europe,2018,1.501,52
Ecuador,5.973,0.889,0.0,0.736,0.556,0.114,0.12,0.0,South-America,2018,1.33,34
Lithuania,5.952,1.197,0.0,0.716,0.35,0.026,0.006,0.0,Europe,2018,1.527,59
Slovenia,5.948,1.219,0.0,0.856,0.633,0.16,0.051,0.0,Europe,2018,1.506,60
Romania,5.945,1.116,0.0,0.726,0.528,0.088,0.001,0.0,Europe,2018,1.219,47
Latvia,5.933,1.148,0.0,0.671,0.363,0.092,0.066,0.0,Europe,2018,1.454,58
Japan,5.915,1.294,0.0,0.988,0.553,0.079,0.15,0.0,Asia,2018,1.462,73
Mauritius,5.891,1.09,0.0,0.684,0.584,0.245,0.05,0.0,Africa,2018,1.387,51
Jamaica,5.89,0.819,0.0,0.693,0.575,0.096,0.031,0.0,South-America,2018,1.493,44
Russia,5.81,1.151,0.0,0.599,0.399,0.065,0.025,0.0,Europe,2018,1.479,28
Kazakhstan,5.79,1.143,0.0,0.631,0.454,0.148,0.121,0.0,Asia,2018,1.516,31
Cyprus,5.762,1.229,0.0,0.909,0.423,0.202,0.035,0.0,Asia,2018,1.191,59
Bolivia,5.752,0.751,0.0,0.508,0.606,0.141,0.054,0.0,South-America,2018,1.223,29
Estonia,5.739,1.2,0.0,0.737,0.553,0.086,0.174,0.0,Europe,2018,1.532,73
Paraguay,5.681,0.835,0.0,0.615,0.541,0.162,0.074,0.0,South-America,2018,1.522,29
Peru,5.663,0.934,0.0,0.674,0.53,0.092,0.034,0.0,South-America,2018,1.249,35
Kosovo,5.662,0.855,0.0,0.578,0.448,0.274,0.023,0.0,Europe,2018,1.23,37
Moldova,5.64,0.657,0.0,0.62,0.232,0.171,0.0,0.0,Europe,2018,1.301,33
Turkmenistan,5.636,1.016,0.0,0.517,0.417,0.199,0.037,0.0,Asia,2018,1.533,20
Hungary,5.62,1.171,0.0,0.732,0.259,0.061,0.022,0.0,Europe,2018,1.401,46
Libya,5.566,0.985,0.0,0.553,0.496,0.116,0.148,0.0,Africa,2018,1.35,17
Philippines,5.524,0.775,0.0,0.513,0.643,0.12,0.105,0.0,Asia,2018,1.312,36
Honduras,5.504,0.62,0.0,0.622,0.459,0.197,0.074,0.0,South-America,2018,1.205,29
Belarus,5.483,1.039,0.0,0.7,0.307,0.101,0.154,0.0,Europe,2018,1.498,44
Turkey,5.483,1.148,0.0,0.686,0.324,0.106,0.109,0.0,Asia,2018,1.38,41
Pakistan,5.472,0.652,0.0,0.424,0.334,0.216,0.113,0.0,Asia,2018,0.81,33
Portugal,5.41,1.188,0.0,0.884,0.562,0.055,0.017,0.0,Europe,2018,1.429,64
Serbia,5.398,0.975,0.0,0.685,0.288,0.134,0.043,0.0,Europe,2018,1.369,39
Lebanon,5.358,0.965,0.0,0.785,0.503,0.214,0.136,0.0,Asia,2018,1.179,28
Greece,5.358,1.154,0.0,0.879,0.131,0.0,0.044,0.0,Europe,2018,1.202,45
Montenegro,5.347,1.017,0.0,0.729,0.259,0.111,0.081,0.0,Europe,2018,1.279,45
Croatia,5.321,1.115,0.0,0.737,0.38,0.12,0.039,0.0,Europe,2018,1.161,48
Dominican Republic,5.302,0.982,0.0,0.614,0.578,0.12,0.106,0.0,South-America,2018,1.441,30
Algeria,5.295,0.979,0.0,0.687,0.077,0.055,0.135,0.0,Africa,2018,1.154,35
Morocco,5.254,0.779,0.0,0.669,0.46,0.026,0.074,0.0,Africa,2018,0.797,43
China,5.246,0.989,0.0,0.799,0.597,0.029,0.103,0.0,Asia,2018,1.142,39
Azerbaijan,5.201,1.024,0.0,0.603,0.43,0.031,0.176,0.0,Asia,2018,1.161,25
Tajikistan,5.199,0.474,0.0,0.598,0.292,0.187,0.034,0.0,Asia,2018,1.166,25
Jordan,5.161,0.822,0.0,0.645,0.468,0.13,0.134,0.0,Asia,2018,1.265,49
Nigeria,5.155,0.689,0.0,0.048,0.462,0.201,0.032,0.0,Africa,2018,1.172,27
Kyrgyzstan,5.131,0.53,0.0,0.594,0.54,0.281,0.035,0.0,Asia,2018,1.416,29
Bosnia and Herzegovina,5.129,0.915,0.0,0.758,0.28,0.216,0.0,0.0,Europe,2018,1.078,38
Mongolia,5.125,0.914,0.0,0.575,0.395,0.253,0.032,0.0,Asia,2018,1.517,37
Vietnam,5.103,0.715,0.0,0.702,0.618,0.177,0.079,0.0,Asia,2018,1.365,33
Indonesia,5.093,0.899,0.0,0.522,0.538,0.484,0.018,0.0,Asia,2018,1.215,38
Cameroon,4.975,0.535,0.0,0.182,0.454,0.183,0.043,0.0,Africa,2018,0.891,25
Bulgaria,4.933,1.054,0.0,0.712,0.359,0.064,0.009,0.0,Europe,2018,1.515,43
Nepal,4.88,0.425,0.0,0.539,0.526,0.302,0.078,0.0,Asia,2018,1.228,31
Venezuela,4.806,0.996,0.0,0.657,0.133,0.056,0.052,0.0,South-America,2018,1.469,18
Gabon,4.758,1.036,0.0,0.404,0.356,0.032,0.052,0.0,Africa,2018,1.164,31
South Africa,4.724,0.94,0.0,0.33,0.516,0.103,0.056,0.0,Africa,2018,1.41,43
Iran,4.707,1.059,0.0,0.691,0.459,0.282,0.129,0.0,Asia,2018,0.771,28
Ghana,4.657,0.592,0.0,0.337,0.499,0.212,0.029,0.0,Africa,2018,0.896,41
Senegal,4.631,0.429,0.0,0.433,0.406,0.138,0.082,0.0,Africa,2018,1.117,45
Tunisia,4.592,0.9,0.0,0.69,0.271,0.04,0.063,0.0,Africa,2018,0.906,43
Albania,4.586,0.916,0.0,0.79,0.419,0.149,0.032,0.0,Europe,2018,0.817,36
Sierra Leone,4.571,0.256,0.0,0.0,0.355,0.238,0.053,0.0,Africa,2018,0.813,30
Bangladesh,4.5,0.532,0.0,0.579,0.58,0.153,0.144,0.0,Asia,2018,0.85,26
Sri Lanka,4.471,0.918,0.0,0.672,0.585,0.307,0.05,0.0,Asia,2018,1.314,38
Iraq,4.456,1.01,0.0,0.536,0.304,0.148,0.095,0.0,Asia,2018,0.971,18
Mali,4.447,0.37,0.0,0.152,0.367,0.139,0.056,0.0,Africa,2018,1.233,32
Cambodia,4.433,0.549,0.0,0.457,0.696,0.256,0.065,0.0,Asia,2018,1.088,20
Burkina Faso,4.424,0.314,0.0,0.254,0.312,0.175,0.128,0.0,Africa,2018,1.097,41
Egypt,4.419,0.885,0.0,0.553,0.312,0.092,0.107,0.0,Africa,2018,1.025,35
Kenya,4.41,0.493,0.0,0.454,0.504,0.352,0.055,0.0,Africa,2018,1.048,27
Zambia,4.377,0.562,0.0,0.295,0.503,0.221,0.082,0.0,Africa,2018,1.047,35
Mauritania,4.356,0.557,0.0,0.292,0.129,0.134,0.093,0.0,Africa,2018,1.245,27
Ethiopia,4.35,0.308,0.0,0.391,0.452,0.22,0.146,0.0,Africa,2018,0.95,34
Georgia,4.34,0.853,0.0,0.643,0.375,0.038,0.215,0.0,Asia,2018,0.592,58
Armenia,4.321,0.816,0.0,0.666,0.26,0.077,0.028,0.0,Asia,2018,0.99,35
Myanmar,4.308,0.682,0.0,0.429,0.58,0.598,0.178,0.0,Asia,2018,1.174,29
Chad,4.301,0.358,0.0,0.053,0.189,0.181,0.06,0.0,Africa,2018,0.907,19
India,4.19,0.721,0.0,0.485,0.539,0.172,0.093,0.0,Asia,2018,0.747,41
Niger,4.166,0.131,0.0,0.221,0.39,0.175,0.099,0.0,Africa,2018,0.867,34
Uganda,4.161,0.322,0.0,0.237,0.45,0.259,0.061,0.0,Africa,2018,1.09,26
Benin,4.141,0.378,0.0,0.24,0.44,0.163,0.067,0.0,Africa,2018,0.372,40
Ukraine,4.103,0.793,0.0,0.609,0.163,0.187,0.011,0.0,Europe,2018,1.413,32
Togo,3.999,0.259,0.0,0.253,0.434,0.158,0.101,0.0,Africa,2018,0.474,30
Guinea,3.964,0.344,0.0,0.211,0.394,0.185,0.094,0.0,South-America,2018,0.792,28
Madagascar,3.774,0.262,0.0,0.402,0.221,0.155,0.049,0.0,Africa,2018,0.908,25
Zimbabwe,3.692,0.357,0.0,0.248,0.406,0.132,0.099,0.0,Africa,2018,1.094,22
Afghanistan,3.632,0.332,0.0,0.255,0.085,0.191,0.036,0.0,Asia,2018,0.537,16
Botswana,3.59,1.017,0.0,0.417,0.557,0.042,0.092,0.0,Africa,2018,1.174,61
Malawi,3.587,0.186,0.0,0.306,0.531,0.21,0.08,0.0,Africa,2018,0.541,32
Haiti,3.582,0.315,0.0,0.289,0.025,0.392,0.104,0.0,South-America,2018,0.714,20
Liberia,3.495,0.076,0.0,0.267,0.419,0.206,0.03,0.0,Africa,2018,0.858,32
Rwanda,3.408,0.332,0.0,0.4,0.636,0.2,0.444,0.0,Africa,2018,0.896,56
Yemen,3.355,0.442,0.0,0.343,0.244,0.083,0.064,0.0,Asia,2018,1.073,14
Tanzania,3.303,0.455,0.0,0.381,0.481,0.27,0.097,0.0,Africa,2018,0.991,36
Burundi,2.905,0.091,0.0,0.145,0.065,0.149,0.076,0.0,Africa,2018,0.627,17
