Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,social_support,cpi_score
Iraq,4.437,1.043,0.0,0.574,0.241,0.148,0.089,0.0,Asia,2017,0.98,18
Mali,4.39,0.385,0.0,0.308,0.327,0.153,0.052,0.0,Africa,2017,1.105,31
Sierra Leone,4.374,0.268,0.0,0.242,0.309,0.252,0.045,0.0,Africa,2017,0.841,30
Sri Lanka,4.366,0.949,0.0,0.831,0.47,0.244,0.047,0.0,Asia,2017,1.265,38
Myanmar,4.36,0.71,0.0,0.555,0.525,0.566,0.172,0.0,Asia,2017,1.181,30
Chad,4.35,0.35,0.0,0.192,0.174,0.198,0.078,0.0,Africa,2017,0.766,20
Ukraine,4.332,0.82,0.0,0.739,0.178,0.187,0.01,0.0,Europe,2017,1.39,30
Ethiopia,4.286,0.336,0.0,0.532,0.344,0.209,0.1,0.0,Africa,2017,1.033,35
Uganda,4.189,0.332,0.0,0.443,0.356,0.252,0.06,0.0,Africa,2017,1.069,26
Egypt,4.166,0.913,0.0,0.644,0.241,0.076,0.067,0.0,Africa,2017,1.039,32
Zambia,4.107,0.578,0.0,0.426,0.431,0.247,0.087,0.0,Africa,2017,1.058,37
Togo,4.085,0.275,0.0,0.41,0.293,0.177,0.085,0.0,Africa,2017,0.572,32
India,4.015,0.755,0.0,0.588,0.498,0.2,0.085,0.0,Asia,2017,0.765,40
Liberia,3.975,0.073,0.0,0.443,0.37,0.233,0.033,0.0,Africa,2017,0.922,31
Madagascar,3.933,0.274,0.0,0.555,0.148,0.169,0.041,0.0,Africa,2017,0.916,24
Burundi,3.775,0.046,0.0,0.38,0.22,0.176,0.18,0.0,Africa,2017,0.447,22
Zimbabwe,3.663,0.366,0.0,0.433,0.361,0.151,0.089,0.0,Africa,2017,1.114,22
Haiti,3.597,0.323,0.0,0.449,0.026,0.419,0.11,0.0,South-America,2017,0.688,22
Botswana,3.488,1.041,0.0,0.538,0.455,0.025,0.1,0.0,Africa,2017,1.145,61
Malawi,3.41,0.191,0.0,0.495,0.443,0.218,0.089,0.0,Africa,2017,0.56,31
Yemen,3.38,0.287,0.0,0.463,0.143,0.108,0.077,0.0,Asia,2017,1.163,16
Rwanda,3.334,0.359,0.0,0.614,0.555,0.217,0.411,0.0,Africa,2017,0.711,55
Tanzania,3.231,0.476,0.0,0.499,0.417,0.276,0.147,0.0,Africa,2017,0.885,36
Afghanistan,3.203,0.35,0.0,0.361,0.0,0.158,0.025,0.0,Asia,2017,0.517,15
